"","habitat","site","year","Acropora","Pocillopora","Porites"
"160","Fringing","LTER 5",2016,NA,NA,42.4512195121951
"161","Forereef","LTER 5",2017,6.8804347826087,18.1173333333333,7.12678571428571
"162","Fringing","LTER 5",2017,NA,NA,47.6945945945946
"163","Forereef","LTER 5",2018,9.37272727272727,24.3539473684211,6.05892857142857
"164","Fringing","LTER 5",2018,NA,0.5,51.8789473684211
"165","Forereef","LTER 5",2019,9.78947368421053,23.5055555555556,6.05689655172414
"166","Fringing","LTER 5",2019,NA,1.05,42.6666666666667
"167","Forereef","LTER 5",2020,3.63030303030303,12.9424657534247,7.99423076923077
"168","Fringing","LTER 5",2020,0.5,12.4,48.3974358974359
"169","Forereef","LTER 5",2021,4.13428571428571,14.0352941176471,7.3
"170","Fringing","LTER 5",2021,NA,6.6,52.7243243243243
"171","Forereef","LTER 6",2005,6.41153846153846,16.4540983606557,4.83235294117647
"172","Fringing","LTER 6",2005,NA,18.7,3.6
"173","Forereef","LTER 6",2006,5.61777777777778,19.3473684210526,3.09428571428571
"174","Fringing","LTER 6",2006,NA,12.85,NA
"175","Forereef","LTER 6",2007,7.11428571428571,17.0528571428571,3.6375
"176","Fringing","LTER 6",2007,NA,23,0.92
"177","Forereef","LTER 6",2008,1.85909090909091,15.1530612244898,1.99411764705882
"178","Fringing","LTER 6",2008,NA,14.1,0.5
"179","Forereef","LTER 6",2009,0.783333333333333,6.72413793103448,1.10952380952381
"180","Fringing","LTER 6",2009,NA,14.95,NA
"181","Forereef","LTER 6",2010,1.05,0.829032258064516,1
"182","Fringing","LTER 6",2010,NA,3.9,NA
"183","Forereef","LTER 6",2011,0.657142857142857,1.56279069767442,1.12222222222222
"184","Fringing","LTER 6",2011,NA,NA,0.5
"185","Forereef","LTER 6",2012,1.94166666666667,2.85538461538462,1.3
"186","Forereef","LTER 6",2013,2.23478260869565,5.50684931506849,2.08823529411765
"187","Forereef","LTER 6",2014,2.092,8.12933333333333,2.67368421052632
"188","Fringing","LTER 6",2014,NA,0.6,3.3
"189","Forereef","LTER 6",2015,3.06071428571429,14.0178082191781,3.29047619047619
"190","Fringing","LTER 6",2015,NA,NA,2.7
"191","Forereef","LTER 6",2016,3.44666666666667,18.8693333333333,3.48048780487805
"192","Fringing","LTER 6",2016,NA,NA,0.5
"193","Forereef","LTER 6",2017,3.476,23.0833333333333,3.19622641509434
"194","Forereef","LTER 6",2018,6.26222222222222,26.11625,3.06851851851852
"195","Fringing","LTER 6",2018,NA,NA,0.85
"196","Forereef","LTER 6",2019,7.404,25.9569620253165,3.09803921568627
"197","Fringing","LTER 6",2019,NA,1.72857142857143,0.5
"198","Forereef","LTER 6",2020,3.64,15.4418918918919,2.67049180327869
"199","Fringing","LTER 6",2020,NA,3.7,3.15
"200","Forereef","LTER 6",2021,2.0125,9.93552631578947,2.33783783783784
